content,score,clean
driver gojeg. sangat mempesona . di samping experience high class berkemudi. grooming harum sekali . thanks Gojeg,5,driver gojeg sangat mempesona  di samping experience high class berkemudi grooming harum sekali  thanks gojeg
driver lu noh makin lama Makin susah buat dpt driver,2,driver lu noh makin lama makin susah buat dpt driver
"masa dpt diskon smpe 20 mnt an g dpt dpt gojekny, ga pke diskon smpe 25 an pdhl dkt , yg bnr aj",1,masa dpt diskon smpe  mnt an g dpt dpt gojekny ga pke diskon smpe  an pdhl dkt  yg bnr aj
diskon nya banyak thank you gojek😭❤️,5,diskon nya banyak thank you gojek
LEMOT,1,lemot
dapet gojeknya lama abis,3,dapet gojeknya lama abis
dapet drivernya lama,3,dapet drivernya lama
baik,5,baik
sangat dibutuhkan ..simple..praktis,5,sangat dibutuhkan simplepraktis
layanan oke,5,layanan oke
puaaasss...,5,puaaasss
Bagus pelayananya,5,bagus pelayananya
sy trimakasi sangat membatu perjlnan,5,sy trimakasi sangat membatu perjlnan
terimakasih 🙏🙏,5,terimakasih 
puas,5,puas
makin ga jelas costemer gojekek makin kesini orang dalam dan orang robot jawaban nya kaya orang gila' untuk menyeselaikan masalah di persulit ..,1,makin ga jelas costemer gojekek makin kesini orang dalam dan orang robot jawaban nya kaya orang gila untuk menyeselaikan masalah di persulit 
terbaik,5,terbaik
masih terlalu lama mendapatkan driver,5,masih terlalu lama mendapatkan driver
Kapan bangrut jek.ndang di tutup lah,1,kapan bangrut jekndang di tutup lah
terimakasih,5,terimakasih
saya kok tidak bisa menerima teanferan dari bank lain ya...pdahal sudah sukses saldo kepotong..tp gak sampai ke gopay ku,1,saya kok tidak bisa menerima teanferan dari bank lain yapdahal sudah sukses saldo kepotongtp gak sampai ke gopay ku
setiap mau pesan gofood selalu susah dapat driver sekarang.dan lama banget,1,setiap mau pesan gofood selalu susah dapat driver sekarangdan lama banget
promonya hoax,1,promonya hoax
GOJEK MAHAL,1,gojek mahal
kecewa..pinjam 200 aja gak pernah di ACC uninstall.... sepertinya gak percaya dengan kunsumen lama...butut!,1,kecewapinjam  aja gak pernah di acc uninstall sepertinya gak percaya dengan kunsumen lamabutut
"LDR support system, terimakasih gojek",5,ldr support system terimakasih gojek
Terbaik lah pokoknya,5,terbaik lah pokoknya
good job,5,good job
"saran untuk gojek, tolong buat fitur khusus untuk penyandang disabilitas, seperti driver yang bisa bahasa isyarat dan mobil yang muat untuk kursi roda, karena saya sebagai orang tua memiliki anak remaja yang tunawicara dan pengguna kursi roda ingin melihat anak beraktivitas dengan normal seperti remaja lain",3,saran untuk gojek tolong buat fitur khusus untuk penyandang disabilitas seperti driver yang bisa bahasa isyarat dan mobil yang muat untuk kursi roda karena saya sebagai orang tua memiliki anak remaja yang tunawicara dan pengguna kursi roda ingin melihat anak beraktivitas dengan normal seperti remaja lain
oke,5,oke
sangat bgus,5,sangat bgus
perfect,5,perfect
terpecaya,5,terpecaya
"mantab, murah meriah praktis",5,mantab murah meriah praktis
semangat pejuang rupiah mantap lah pokoknya,5,semangat pejuang rupiah mantap lah pokoknya
Ok baik,5,ok baik
ok baik,5,ok baik
all good,5,all good
nice,5,nice
pelayanan baik meski bbrp driver pelayanan kurang baik,5,pelayanan baik meski bbrp driver pelayanan kurang baik
Pencarian driver agak lama,5,pencarian driver agak lama
"jelek bgt, gk bisa chat gk bisa tlp tiba² dpt notif drive dah nyampe padahal blm ada",1,jelek bgt gk bisa chat gk bisa tlp tiba dpt notif drive dah nyampe padahal blm ada
bagus sekali,5,bagus sekali
tepat waktu,5,tepat waktu
banyak promo nyaaa,5,banyak promo nyaaa
dimana pun dan kapan pun sangat membantu,5,dimana pun dan kapan pun sangat membantu
"tepat waktu,",5,tepat waktu
"Bagus Aplikasinye,tp sayang sistemnya makin hari makin gajelas,driver yg jauh² pada suruh ngambil,sedangkan driver yg deket² gamau ambil.",5,bagus aplikasinyetp sayang sistemnya makin hari makin gajelasdriver yg jauh pada suruh ngambilsedangkan driver yg deket gamau ambil
bagus sangat membantu,5,bagus sangat membantu
"sy hampir setiap hr GOJEK ,semua baik"" rama",5,sy hampir setiap hr gojek semua baik rama
"cara kerjanya bagus,banyak promonya, jadi gampang dan cepat kalau mau pesen apa,kemana"" juga jadi gampang",5,cara kerjanya bagusbanyak promonya jadi gampang dan cepat kalau mau pesen apakemana juga jadi gampang
bgus,5,bgus
"aplikasi nya sat set,, ga pake lama",5,aplikasi nya sat set ga pake lama
bagus👍🏼👍🏼👍🏼,5,bagus
Map bagus dan akurat...mantap,5,map bagus dan akuratmantap
"driver banyak di sekitar an tapi ga dapat dapat, tiap pesan begini,dibatalkan malah menawarkan untuk menaikkan ongkos, tapi ongkos masuk ke drivernya tetap sama ga ikut naik",1,driver banyak di sekitar an tapi ga dapat dapat tiap pesan beginidibatalkan malah menawarkan untuk menaikkan ongkos tapi ongkos masuk ke drivernya tetap sama ga ikut naik
memudahkan perjalanan,5,memudahkan perjalanan
orang aplikasi pengirim barang kok hide nomor drivernya nomor customer jg di hide dari driver gmn mau komunikasi dipersulit,1,orang aplikasi pengirim barang kok hide nomor drivernya nomor customer jg di hide dari driver gmn mau komunikasi dipersulit
ok mntp,5,ok mntp
selama menggunakan aman² aja,5,selama menggunakan aman aja
pelayanan nya mantep,5,pelayanan nya mantep
"Dompet gopay saya tiba tiba terkunci, padahal saya tidak melakukan transaksi yg mencurigakan, saya sudah minta bantuan tapi tidak ada solusi, tolong saldo saya tertahan di dompet",1,dompet gopay saya tiba tiba terkunci padahal saya tidak melakukan transaksi yg mencurigakan saya sudah minta bantuan tapi tidak ada solusi tolong saldo saya tertahan di dompet
selalu membantu keadaan darurat,5,selalu membantu keadaan darurat
aplikasi error Mulu beggoo,1,aplikasi error mulu beggoo
Satu aplikasi yang paling bagus banget saya suka belanja digojek.,5,satu aplikasi yang paling bagus banget saya suka belanja digojek
sngtt baguss😍,5,sngtt baguss
"pengemudi nya kebanyakan kalau nyetir ugal ugalan, mereka loh bawa penumpang bukan barang... apa karena milih harga murah trus di perlakukan seperti itu...",3,pengemudi nya kebanyakan kalau nyetir ugal ugalan mereka loh bawa penumpang bukan barang apa karena milih harga murah trus di perlakukan seperti itu
"Kek mana ini baru download, mau daftar aja kaga bisa, ada kendala teknis mulu",3,kek mana ini baru download mau daftar aja kaga bisa ada kendala teknis mulu
gampang,5,gampang
"pemesanan gofood makin susah dpt driver . waktu tunggu juga smakin lama udh gtu promo potongan hrga gofood skg makin sdkit dn potongan ongkir cuma 2,5rebu. mending beralih ke aplikasi sbelah aja..",1,pemesanan gofood makin susah dpt driver  waktu tunggu juga smakin lama udh gtu promo potongan hrga gofood skg makin sdkit dn potongan ongkir cuma rebu mending beralih ke aplikasi sbelah aja
"Sudah bayar gojek plus, driver baik mobil dan motor ya banyak yang cancel pesanan alasan kurang argo gimana sih",1,sudah bayar gojek plus driver baik mobil dan motor ya banyak yang cancel pesanan alasan kurang argo gimana sih
bagus membantu,4,bagus membantu
ga ada driver,1,ga ada driver
ampas,1,ampas
Cepet bgt service nya bagus...go...go...gojek,5,cepet bgt service nya bagusgogogojek
"masih JD pilihan saya, tapi k3napa sekarang sering banget dapat driver yg jauh2",3,masih jd pilihan saya tapi knapa sekarang sering banget dapat driver yg jauh
Trimakasih👍,5,trimakasih
Memiliki harga murah,5,memiliki harga murah
cepat👍,5,cepat
"ceoat tepat murah , untuk terus berinovasi .",5,ceoat tepat murah  untuk terus berinovasi 
sangat bagus,5,sangat bagus
"pesan makanan 5x nggk ada driver yg mau, unistal langsung dwonload Grab mantul Grab sekrg jdi langganan beli makanan hehhe",2,pesan makanan x nggk ada driver yg mau unistal langsung dwonload grab mantul grab sekrg jdi langganan beli makanan hehhe
mantap banyak promonya,5,mantap banyak promonya
Berpergian yg aman & nyaman•,5,berpergian yg aman  nyaman
sangat jelek,1,sangat jelek
"makin kesini driver nya minim pelayanan , kasar gak ada etika nya dibidang pelayanan jadi kecewa gak mau pakai lagi kasihan gara gara 1 atau 2 orang semua jadi berdampak buruk",1,makin kesini driver nya minim pelayanan  kasar gak ada etika nya dibidang pelayanan jadi kecewa gak mau pakai lagi kasihan gara gara  atau  orang semua jadi berdampak buruk
good lah,5,good lah
sangat bermanfaat dan cepat,5,sangat bermanfaat dan cepat
sangat membantu untuk mengantarkan ke tempat tujuan dgn aman dan selamat,5,sangat membantu untuk mengantarkan ke tempat tujuan dgn aman dan selamat
layanan nya bagus,5,layanan nya bagus
bagus aplikasi gampang di gunakan,5,bagus aplikasi gampang di gunakan
"pelayanan cepat , ramah",5,pelayanan cepat  ramah
Mantaap,5,mantaap
👍🏼,5,
cukup puas,5,cukup puas
keren banyak promo murah,5,keren banyak promo murah
cepat gercep,5,cepat gercep
Tolong ya kalo masih jauh jatuh tempo dari tanggal 1 Mei 2026 jangan nanggih di tanggal 15 april 2026 bikin ngga nyaman aja padahal rutin di bayar tiap bulan nya.,1,tolong ya kalo masih jauh jatuh tempo dari tanggal  mei  jangan nanggih di tanggal  april  bikin ngga nyaman aja padahal rutin di bayar tiap bulan nya
"pengen uninstall sejak ada order grup di gofood... diskon cm ada diskon grup doang. diskon & promo lain ga ada sama sekali. yang ada nambah gede biaya pengemasan, biaya jasa, biaya laennya.",1,pengen uninstall sejak ada order grup di gofood diskon cm ada diskon grup doang diskon  promo lain ga ada sama sekali yang ada nambah gede biaya pengemasan biaya jasa biaya laennya
aman,5,aman
gofood good nice,5,gofood good nice
drivernya baik,5,drivernya baik
"gojek sekarang susah yaa cari driver nya, apakah bener yg kata orang2, driver sebenernya banyak cuman yg diutamain dapet pelanggan driver yg bayar plus, kasian juga abang2 gojeknya.",3,gojek sekarang susah yaa cari driver nya apakah bener yg kata orang driver sebenernya banyak cuman yg diutamain dapet pelanggan driver yg bayar plus kasian juga abang gojeknya
"Nyari driver lama banget. 30 menit cuman buat nyari driver. Udah pakai gojek reguler bahkan comfort ttp aja lama nyarinya. Dulu sekalipun di jam sibuk, masih gampang dpt driver. mending beralih ke ojek pangkalan aja kalo gini. Saya kasih tau nih, kemarin selasa 14 April di lrt harjamukti. Banyak yg beralih ke ojek pangkalan, sama aplikasi taksi lain. Kalo gojek ttp gini, tinggal tunggu aja ini perusahaan kolaps.",1,nyari driver lama banget  menit cuman buat nyari driver udah pakai gojek reguler bahkan comfort ttp aja lama nyarinya dulu sekalipun di jam sibuk masih gampang dpt driver mending beralih ke ojek pangkalan aja kalo gini saya kasih tau nih kemarin selasa  april di lrt harjamukti banyak yg beralih ke ojek pangkalan sama aplikasi taksi lain kalo gojek ttp gini tinggal tunggu aja ini perusahaan kolaps
aman berkendara🤗🤗,5,aman berkendara
semoga lebih murah,3,semoga lebih murah
penjemputan ok.,5,penjemputan ok
mantap deh pokoknya,5,mantap deh pokoknya
kasih 3 dulu nanti kalo nyaman tambah lagi,3,kasih  dulu nanti kalo nyaman tambah lagi
sat set,5,sat set
bagus,4,bagus
Sangat membantu dalam proses pengiriman barang,5,sangat membantu dalam proses pengiriman barang
"kenapa ya gojek kalo lagi beres ujan susah banget, pdhl banyak loh disekitaran, terkesan ga mau ambil penumpang, giliran yg harga mahal baru mau ambil",4,kenapa ya gojek kalo lagi beres ujan susah banget pdhl banyak loh disekitaran terkesan ga mau ambil penumpang giliran yg harga mahal baru mau ambil
TERBAIK. SANGAT MEMBANTU,5,terbaik sangat membantu
"hrsnya makanan minuman klo beli min 75rb dpt diskon paling ga 10%, sy sering beli makanan diatas 80rb jadi berat, lagian sekalian bantu UMKM. kedua hrsnya kalo driver ga bisa anter barang/lama bisa dicancel dr cust",3,hrsnya makanan minuman klo beli min rb dpt diskon paling ga  sy sering beli makanan diatas rb jadi berat lagian sekalian bantu umkm kedua hrsnya kalo driver ga bisa anter baranglama bisa dicancel dr cust
sangat terbantu,5,sangat terbantu
lumayan buat keperluan mendadak jadi praktis,5,lumayan buat keperluan mendadak jadi praktis
good all in,5,good all in
sekarang sudah dapet drivernya kenapa??,3,sekarang sudah dapet drivernya kenapa
Waaaaaaaaw,4,waaaaaaaaw
Biasanya selalu suka dengan kecepatan gojek dalam mencari driver. namun sayangnya sekarang-sekarang ini banyak driver yang sudah kita tunggu lama tpi ga ada respon bahkan membuat kita menunggu lama. salah satu oknum drivernya bernama Iman Juju yang sering kali saya dapatkan tpi tidak ada respon padahal radiusnya dekat. membuat saya terlambat karena mendapatkan driver yang tidak niat seperti si Iman Juju ini. Tolong beri teguran bagi driver yang tidak siap dalam melayani konsumen. Thx,1,biasanya selalu suka dengan kecepatan gojek dalam mencari driver namun sayangnya sekarangsekarang ini banyak driver yang sudah kita tunggu lama tpi ga ada respon bahkan membuat kita menunggu lama salah satu oknum drivernya bernama iman juju yang sering kali saya dapatkan tpi tidak ada respon padahal radiusnya dekat membuat saya terlambat karena mendapatkan driver yang tidak niat seperti si iman juju ini tolong beri teguran bagi driver yang tidak siap dalam melayani konsumen thx
bagus dan manfaat,5,bagus dan manfaat
baik dan sopan,5,baik dan sopan
salam satu aspal,5,salam satu aspal
"saya pesan Gofood, udah 1jam gak dapet driver.. tidak ada kompensasi sama sekali oleh pihak Gojek,. padahal sudah jelas telat lebih dari 1jam.",1,saya pesan gofood udah jam gak dapet driver tidak ada kompensasi sama sekali oleh pihak gojek padahal sudah jelas telat lebih dari jam
"kebanyakan update, dan koin dikit pula",1,kebanyakan update dan koin dikit pula
jelek,1,jelek
"waw harganya sering naik turun ya untuk ongkirnya, trus games di gojek-nya loading lama bangetttt padahal biasanya enggak. wifi lancar dan internet juga.",3,waw harganya sering naik turun ya untuk ongkirnya trus games di gojeknya loading lama bangetttt padahal biasanya enggak wifi lancar dan internet juga
"gofood GAK pernh ada vocer, itu pun cuma sekali sisanya mahal terus . jadi setiap cek langsung hapus.",1,gofood gak pernh ada vocer itu pun cuma sekali sisanya mahal terus  jadi setiap cek langsung hapus
aku udah pake dari lama abanya juga pada ramah ramah,5,aku udah pake dari lama abanya juga pada ramah ramah
"CS nya ga sopan, gabisa nyelesain masalah.",1,cs nya ga sopan gabisa nyelesain masalah
apa sangkuta nya frame ikiyi dengan go-jek?,3,apa sangkuta nya frame ikiyi dengan gojek
apk supert lengkap dna banyak promonya,5,apk supert lengkap dna banyak promonya
sangat muda,5,sangat muda
cepat dan amanah,5,cepat dan amanah
driver ny jujur,5,driver ny jujur
"sumpah jelek bener sekarang, order makan hampir 1 jam gak dapat dapat driver nya, kecewa",1,sumpah jelek bener sekarang order makan hampir  jam gak dapat dapat driver nya kecewa
aplikasi bangsatt,1,aplikasi bangsatt
yaa,5,yaa
aplikasi ok gak ribet&sat set,5,aplikasi ok gak ribetsat set
nyaman banget pake gojek,5,nyaman banget pake gojek
"ok, tapi kadang2 saat memesan berganti sampai 3 - 4 kali, baru dapat",4,ok tapi kadang saat memesan berganti sampai    kali baru dapat
"driver seenaknya membatalkan pesanan, sekalinya driver ngantar makan dan kita telat ambil, kita dah dapat penilaian buruk. tiba driver nya yg Gonta ganti gimana? udah dapat driver malah dibatalin, beganti driver juga dibatalin. ujungnya? ya benar, kamu bisa membatalkan pesanan. kita bukan nunggu sebentar, lama banget sampai dapat driver. sekalinya dapat malah ga dikelarin. ciptain sistem yg adil dong om gojek, khususnya untuk kami costumer pengguna baru 🙏🏻",1,driver seenaknya membatalkan pesanan sekalinya driver ngantar makan dan kita telat ambil kita dah dapat penilaian buruk tiba driver nya yg gonta ganti gimana udah dapat driver malah dibatalin beganti driver juga dibatalin ujungnya ya benar kamu bisa membatalkan pesanan kita bukan nunggu sebentar lama banget sampai dapat driver sekalinya dapat malah ga dikelarin ciptain sistem yg adil dong om gojek khususnya untuk kami costumer pengguna baru 
Memuaskan ...,5,memuaskan 
